source,target,source_label,target_label
BA1,OC2,Baseline investigative activity,Distinguishability
CD1,OC1,Causal relations exist,Stable structure
CD1,OC2,Causal relations exist,Distinguishability
CD2,CD1,Self-affecting procedures,Causal relations exist
CD2,IS1,Self-affecting procedures,Phase structure
CD2,EC1,Self-affecting procedures,Self-knowledge
EC1,SR1,Self-knowledge,Self-examination of outputs
EC1,IS2,Self-knowledge,Determinate outputs
EC1,IS1,Self-knowledge,Phase structure
IC1,OC1,Extractable information,Stable structure
IC1,OC2,Extractable information,Distinguishability
IC1,IS1,Extractable information,Phase structure
IS1,BA1,Phase structure,Baseline investigative activity
IS2,IC1,Determinate outputs,Extractable information
IS2,OC1,Determinate outputs,Stable structure
IS2,IS1,Determinate outputs,Phase structure
OC1,OC2,Stable structure,Distinguishability
SR1,IS2,Self-examination of outputs,Determinate outputs
SR1,IS1,Self-examination of outputs,Phase structure
